,B
biograd-A,0.42042824074074076
biograd-B,0.20564102564102565
biograd-C,0.45429362880886426
brodarski-A,0.2444933920704846
brodarski-B,0.1206896551724138
brodarski-C,0.21410090556274256
brodarski-D,0.48302469135802467
overall,0.36070282142253757
